 TimeStamp etaslcore.tip.0 etaslcore.tip.1 etaslcore.tip.2
 0.00693782  -0.460561 -0.00189015 0.39355 
 0.00910018  -0.460582 -0.00187688 0.393547 
 0.0121063  -0.460582 -0.00187688 0.393547 
 0.0121889  -0.460582 -0.00187688 0.393547 
 0.01492  -0.460568 -0.00188057 0.393592 
 0.0188397  -0.460568 -0.00188057 0.393592 
 0.0229906  -0.460566 -0.00187553 0.393542 
 0.0268322  -0.460566 -0.00187553 0.393542 
 0.0308466  -0.460569 -0.00187619 0.393562 
 0.0348216  -0.460569 -0.00187619 0.393562 
 0.038835  -0.460556 -0.00186786 0.393542 
 0.0428904  -0.460556 -0.00186786 0.393542 
 0.0472627  -0.460572 -0.00187128 0.393564 
 0.0511606  -0.460572 -0.00187128 0.393564 
 0.055228  -0.460557 -0.00188258 0.393545 
 0.0590199  -0.460557 -0.00188258 0.393545 
 0.0632023  -0.460593 -0.00188025 0.393569 
 0.0670508  -0.460593 -0.00188025 0.393569 
 0.0711842  -0.460571 -0.00187183 0.393561 
 0.0750539  -0.460571 -0.00187183 0.393561 
 0.0790633  -0.460571 -0.00187288 0.393568 
 0.0829316  -0.460571 -0.00187288 0.393568 
 0.0869882  -0.460575 -0.00187457 0.393565 
 0.090826  -0.460575 -0.00187457 0.393565 
 0.0949936  -0.46057 -0.00188111 0.393552 
 0.0988207  -0.46057 -0.00188111 0.393552 
 0.102844  -0.460556 -0.00187438 0.393531 
 0.106728  -0.460556 -0.00187438 0.393531 
 0.110769  -0.46058 -0.00187028 0.393573 
 0.114853  -0.46058 -0.00187028 0.393573 
 0.118822  -0.460554 -0.00187334 0.393564 
 0.122955  -0.460554 -0.00187334 0.393564 
 0.127039  -0.460572 -0.00187622 0.393538 
 0.13083  -0.460572 -0.00187622 0.393538 
 0.134955  -0.460582 -0.00188284 0.393577 
 0.13882  -0.460582 -0.00188284 0.393577 
 0.142887  -0.460559 -0.00186845 0.393544 
 0.146827  -0.460559 -0.00186845 0.393544 
 0.150844  -0.46058 -0.0018709 0.393517 
 0.154811  -0.46058 -0.0018709 0.393517 
 0.158877  -0.460577 -0.00187683 0.39355 
 0.162817  -0.460577 -0.00187683 0.39355 
 0.167012  -0.460571 -0.00188059 0.393566 
 0.170874  -0.460571 -0.00188059 0.393566 
 0.174873  -0.460575 -0.00188007 0.393567 
 0.178766  -0.460575 -0.00188007 0.393567 
 0.182851  -0.460564 -0.00188924 0.393565 
 0.186853  -0.460564 -0.00188924 0.393565 
