 TimeStamp etaslcore.tip.0 etaslcore.tip.1 etaslcore.tip.2
 0.00361638  -0.459673 -0.00197737 0.393284 
 0.00371437  -0.459662 -0.001962 0.393298 
 0.00385084  -0.459662 -0.001962 0.393298 
 0.00708505  -0.459662 -0.001962 0.393298 
 0.0113384  -0.459672 -0.00199096 0.393306 
 0.0152284  -0.459672 -0.00199096 0.393306 
 0.0191343  -0.459673 -0.00196706 0.393282 
 0.0231184  -0.459673 -0.00196706 0.393282 
 0.0270717  -0.459671 -0.00198545 0.393273 
 0.0311154  -0.459671 -0.00198545 0.393273 
 0.0354387  -0.459642 -0.00197875 0.393298 
 0.0389469  -0.459642 -0.00197875 0.393298 
 0.0430508  -0.45967 -0.00198722 0.393281 
 0.0472011  -0.45967 -0.00198722 0.393281 
 0.0513872  -0.459682 -0.00197413 0.393287 
 0.0550412  -0.459682 -0.00197413 0.393287 
 0.0592442  -0.459663 -0.00196908 0.393255 
 0.0629572  -0.459663 -0.00196908 0.393255 
 0.0672274  -0.459669 -0.00198004 0.393268 
 0.0709373  -0.459669 -0.00198004 0.393268 
 0.0749308  -0.459656 -0.00197926 0.393273 
 0.078941  -0.459656 -0.00197926 0.393273 
 0.0827617  -0.45968 -0.00197623 0.393276 
 0.0869083  -0.45968 -0.00197623 0.393276 
 0.0911944  -0.459661 -0.00196637 0.393295 
 0.094928  -0.459661 -0.00196637 0.393295 
 0.0989722  -0.459677 -0.00196383 0.393289 
 0.103079  -0.459677 -0.00196383 0.393289 
 0.106906  -0.459678 -0.00195888 0.393266 
 0.110991  -0.459678 -0.00195888 0.393266 
 0.115231  -0.45967 -0.00197734 0.393266 
 0.118932  -0.45967 -0.00197734 0.393266 
 0.123158  -0.459673 -0.00197199 0.393298 
 0.127113  -0.459673 -0.00197199 0.393298 
 0.131098  -0.459659 -0.00195377 0.39326 
 0.134988  -0.459659 -0.00195377 0.39326 
 0.139215  -0.459669 -0.00196702 0.3933 
 0.143093  -0.459669 -0.00196702 0.3933 
 0.14701  -0.459671 -0.0019839 0.393284 
 0.151123  -0.459671 -0.0019839 0.393284 
 0.155334  -0.459662 -0.00196637 0.393271 
 0.158914  -0.459662 -0.00196637 0.393271 
 0.163257  -0.459667 -0.00198385 0.393279 
 0.167868  -0.459678 -0.00197082 0.393272 
 0.17116  -0.459678 -0.00197082 0.393272 
 0.174948  -0.459678 -0.00197082 0.393272 
 0.179127  -0.459652 -0.00197114 0.393304 
 0.183066  -0.459652 -0.00197114 0.393304 
 0.187361  -0.459649 -0.00199241 0.393283 
 0.190934  -0.459649 -0.00199241 0.393283 
 0.195237  -0.459664 -0.00197236 0.393298 
 0.199126  -0.459664 -0.00197236 0.393298 
 0.203448  -0.459669 -0.00197733 0.393274 
 0.207818  -0.459683 -0.00196548 0.393318 
 0.211166  -0.459683 -0.00196548 0.393318 
 0.215049  -0.459683 -0.00196548 0.393318 
 0.219283  -0.459677 -0.00197472 0.393268 
 0.223037  -0.459677 -0.00197472 0.393268 
 0.227154  -0.459641 -0.00197763 0.393259 
 0.23104  -0.459641 -0.00197763 0.393259 
 0.235169  -0.459673 -0.00197636 0.393275 
